,Skole,Status,Note
,Aarhus Efterskole,Blank,info@aarhusefterskole.dk
,Vivild Gymnastik- & Idrætsefterskole,Blank,kontor@vgi.dk
,Rønde Højskole og Efterskole ,Blank,post@rhe.dk.
,Hedemølle Efterskole,Blank,hedemoelle@hedemoelle.dk
,Gudenaadalens Efterskole,Blank,info@gudenaadalen.dk
,Levring Efterskole ,Blank,hello@levringefterskole.dk
,Dronninglund Efterskole,Blank,Kontor@dronninglundefterskole.dk
,Han Herred Efterskole,Blank,info@hhe.dk
,Horne Efterskole,Blank,info@horne.dk
,Ranum Efterskole,Blank,info@ranumefterskole.dk
,Ingstrup Efterskole ,Blank,kontor@ingstrupefterskole.dk
,Nordjyllands Idrætsefterskole Stidsholt,Blank,info@stidsholt.dk
,Hørby Efterskole,Blank,he@hoerbyefterskole.dk
,Vesterdal Efterskole,Blank,info@vesterdal.dk
,Viby Efterskole,Blank,viby@viby-efterskole.dk
,Efterskolen Flyvesandet,Blank,kontor@flyvesandet.dk
,Langelands Efterskole,Blank,hej@leskole.dk
,Højer Efterskole,Blank,kontor@hoejerefterskole.dk
,Løgumkloster Efterskole,Blank,lme@lme.dk
,Agerskov Ungdomsskole,Blank,info@agerskovungdomsskole.dk
,Ladelund Efterskole,Blank,postkassen@ladelundefterskole.dk
,Askov Efterskole,Blank,askov@askovefterskole.dk
,Skovlund Efterskole,Blank,skovlund.efterskole@ske.dk
,Balle Musik- & Idrætsefterskole,Blank,info@balle-efterskole.dk
,Vandel Efterskole,Blank,kontor@vandelefterskole.dk
,Elbæk Efterskole,Blank,info@elbaekefterskole.dk
,Nørre Nissum Efterskole,Blank,nne@nissum.dk
,Kongensgaard Efterskole,Blank,kge@kge.dk
,Fjordvang Efterskole,Blank,kontor@fjordvangefterskole.dk
,Vedersø Efterskole,Blank,vi@vie.dk
,Sædding Efterskole,Blank,kontor@saedding.dk
,Dejbjerglund Efterskole,Blank,kontor@dejbjerglund.dk
,Den danske Design- og Håndværksefterskole i Skjern,Blank,dhe@dhe.dk
,Københavns Idrætsefterskole,Blank,kontakt@kies.dk
,Nordsjællands Efterskole,Blank,ne@ne.dk
,Sportsefterskolen Sjælsølund,Blank,efterskole@sjaelsoelund.dk
,Flakkebjerg Efterskole,Blank,info@flakkebjergefterskole.dk
,Midtsjællands Efterskole,Blank,kontoret@mse.dk
,Idrætsefterskolen Klintsøgaard,Blank,kontor@klintsoegaard.dk
,Nysted Efterskole,Blank,info@nysted-efterskole.dk
,Svenstrup Efterskole,Blank,kontor@svenstrup-efterskole.dk
,Handbjerghus Efterskole,Blank,kontor@handbjerghus.dk
,Gymnastikefterskolen Stevns ,Blank,kontor@gymnastikstevns.dk
,Lundby Efterskole,Aktiv,adm@lundbyefterskole.dk
,Sorø Gymnastikefterskole,Blank,kontor@soroefterskole.dk
,Haarby Efterskole,Blank,he@haarbyefterskole.dk
,Strib Idrætsefterskole,Blank,kontor@stribidraetsefterskole.dk
,Bjerre Gymnastik- og Idrætsefterskole Akademiet,Blank,info@bgi.dk
,Halstedhus Efterskole,Blank,kontor@halstedhus.dk
,Billeshave Efterskole,Blank,kontor@billeshave.dk
,Efterskolen ved Nyborg,Blank,evn@evn.dk
,Sejergaardsskolen Grundskole og efterskole ,Blank,kontakt@sejergaardsskolen.dk
,Holte-Hus Efterskole,Blank,mail@holte-hus.dk
,Emmerske Efterskole,Blank,ee@eeskole.dk
